ERROR 2025-07-29 20:56:37,274 cache 27584 28184 Failed to warm cache for NFLX: Failed to get price history for NFLX: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,586 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,587 yahoo_finance 27584 28184 Failed to get price history for ORCL: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,587 cache 27584 28184 Failed to warm cache for ORCL: Failed to get price history for ORCL: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,820 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,820 yahoo_finance 27584 28184 Failed to get price history for CRM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:37,820 cache 27584 28184 Failed to warm cache for CRM: Failed to get price history for CRM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,133 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,133 yahoo_finance 27584 28184 Failed to get price history for JPM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,133 cache 27584 28184 Failed to warm cache for JPM: Failed to get price history for JPM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,499 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,500 yahoo_finance 27584 28184 Failed to get price history for BAC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,500 cache 27584 28184 Failed to warm cache for BAC: Failed to get price history for BAC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,856 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,856 yahoo_finance 27584 28184 Failed to get price history for WFC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:38,856 cache 27584 28184 Failed to warm cache for WFC: Failed to get price history for WFC: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,121 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,122 yahoo_finance 27584 28184 Failed to get price history for V: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,122 cache 27584 28184 Failed to warm cache for V: Failed to get price history for V: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,380 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,380 yahoo_finance 27584 28184 Failed to get price history for MA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:56:39,380 cache 27584 28184 Failed to warm cache for MA: Failed to get price history for MA: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
INFO 2025-07-29 20:56:39,380 base 27584 28184 Rate limit reached, sleeping for 55.65 seconds
INFO 2025-07-29 20:57:35,224 base 27584 28184 Rate limit reached, sleeping for 0.22 seconds
ERROR 2025-07-29 20:57:35,646 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:35,647 yahoo_finance 27584 28184 Failed to get price history for JNJ: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:35,647 cache 27584 28184 Failed to warm cache for JNJ: Failed to get price history for JNJ: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:35,991 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:35,991 yahoo_finance 27584 28184 Failed to get price history for UNH: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:35,992 cache 27584 28184 Failed to warm cache for UNH: Failed to get price history for UNH: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,356 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,356 yahoo_finance 27584 28184 Failed to get price history for PFE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,357 cache 27584 28184 Failed to warm cache for PFE: Failed to get price history for PFE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,608 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,608 yahoo_finance 27584 28184 Failed to get price history for ABBV: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,608 cache 27584 28184 Failed to warm cache for ABBV: Failed to get price history for ABBV: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,932 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,932 yahoo_finance 27584 28184 Failed to get price history for MRK: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:36,932 cache 27584 28184 Failed to warm cache for MRK: Failed to get price history for MRK: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,262 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,263 yahoo_finance 27584 28184 Failed to get price history for XOM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,263 cache 27584 28184 Failed to warm cache for XOM: Failed to get price history for XOM: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,659 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,659 yahoo_finance 27584 28184 Failed to get price history for CVX: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,659 cache 27584 28184 Failed to warm cache for CVX: Failed to get price history for CVX: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,983 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,983 yahoo_finance 27584 28184 Failed to get price history for COP: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:37,984 cache 27584 28184 Failed to warm cache for COP: Failed to get price history for COP: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,271 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,271 yahoo_finance 27584 28184 Failed to get price history for SLB: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,271 cache 27584 28184 Failed to warm cache for SLB: Failed to get price history for SLB: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,571 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,571 yahoo_finance 27584 28184 Failed to get price history for EOG: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,571 cache 27584 28184 Failed to warm cache for EOG: Failed to get price history for EOG: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,850 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,850 yahoo_finance 27584 28184 Failed to get price history for XLK: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:38,850 cache 27584 28184 Failed to warm cache for XLK: Failed to get price history for XLK: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,077 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,077 yahoo_finance 27584 28184 Failed to get price history for XLF: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,077 cache 27584 28184 Failed to warm cache for XLF: Failed to get price history for XLF: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,378 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,378 yahoo_finance 27584 28184 Failed to get price history for XLV: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,378 cache 27584 28184 Failed to warm cache for XLV: Failed to get price history for XLV: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,683 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,683 yahoo_finance 27584 28184 Failed to get price history for XLE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:39,683 cache 27584 28184 Failed to warm cache for XLE: Failed to get price history for XLE: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,011 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,011 yahoo_finance 27584 28184 Failed to get price history for XLY: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,011 cache 27584 28184 Failed to warm cache for XLY: Failed to get price history for XLY: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,332 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,332 yahoo_finance 27584 28184 Failed to get price history for XLI: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,332 cache 27584 28184 Failed to warm cache for XLI: Failed to get price history for XLI: API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
ERROR 2025-07-29 20:57:40,643 base 27584 28184 API call failed: PriceHistory.history() got an unexpected keyword argument 'threads'
